Detector_Number,x,y,z,Total_Energy_Deposited,Energy_Per_Particle,Energy_Squared_Sum,Quadric_Energy_Per_Particle,sigma,n_total,m_sigma,Ix,Iy,Iz
126,-4.8,-0.8,-1.5,94370513.02000001,0.015749418060747665,31198792502400.0,724174.86141,4.159273156999999,5992000000.0,0.0027965225943132922,5,10,0
127,-4.8,-0.0,-1.5,91591266.08999999,0.015302191310667445,28324342748500.0,701373.2075510003,4.057339669999999,5985500000.0,0.002667477282008135,5,11,0
128,-4.8,0.8,-1.5,87813224.8,0.01466731665274762,29212132061000.0,724372.44607,4.146444042000001,5987000000.0,0.002708280324714157,5,12,0
129,-4.8,1.6,-1.5,79285183.06,0.013038181723400757,22978762810000.0,552020.4960880001,3.6364368760000008,6081000000.0,0.0023648824736212997,5,13,0
130,-4.8,2.4,-1.5,66668599.16199999,0.011237859108638852,19283347112794.0,458683.06688977993,3.115339980700002,5932500000.0,0.0022206223616677056,5,14,0
131,-4.8,3.2,-1.5,59625328.32,0.010000055064150944,17991694248700.0,476215.2189160001,3.240762368999999,5962500000.0,0.0021341693895409867,5,15,0
132,-4.8,4.0,-1.5,47114529.68000001,0.008173220518691996,13665633970610.0,301981.9772568001,2.330692644999998,5764500000.0,0.0019238645718514516,5,16,0
133,-4.8,4.8,-1.5,30483273.907,0.00554594267388338,6651276123879.0,166142.3479324,1.6521130409,5496500000.0,0.001407626731633471,5,17,0
134,-4.8,5.6,-1.5,33966671.524,0.0061539399445601954,9834293161223.0,223097.3872561,1.9034847469999991,5519500000.0,0.001704484623320606,5,18,0
135,-4.8,6.4,-1.5,26508136.162999995,0.004822730130628581,8518304567064.0,251268.17814673993,1.784186437100001,5496500000.0,0.0015929846873309142,5,19,0
136,-4.8,7.2,-1.5,18848492.11,0.003690355772883015,4908214618160.0,107551.61992100005,1.0776445720000007,5107500000.0,0.0013012916666759766,5,20,0
137,-4.8,8.0,-1.5,15633494.745000003,0.003543403160698097,4481008418189.0,111556.66805300002,0.9623920469999998,4412000000.0,0.0014393739157542574,5,21,0
138,-4.8,8.8,-1.5,11073704.037,0.0029061026209158906,3207977024456.0,80011.35767474996,0.7377148950000001,3810500000.0,0.0014101162298934514,5,22,0
139,-4.0,-8.8,-1.5,18095835.159,0.00398498902422374,4839098797812.9,135461.453515546,1.2679349143000003,4541000000.0,0.0014532890258062729,6,0,0
140,-4.0,-8.0,-1.5,15943626.27,0.0036647802022756,4727733752040.0,128391.45310910002,1.0691823728999998,4350500000.0,0.0014993691968329167,6,1,0
141,-4.0,-7.2,-1.5,21124044.372999992,0.004228191427742192,5340433408875.0,137846.79954305998,1.2943458023000007,4996000000.0,0.0013876727928016645,6,2,0
142,-4.0,-6.4,-1.5,24494988.529999994,0.004411921565201728,5866678656820.0,156279.0780889,1.4482394799999987,5552000000.0,0.0013087838991914312,6,3,0
143,-4.0,-5.6,-1.5,33893544.73000001,0.006075745223626425,7486978427178.0,184710.88531759998,1.7828251112,5578500000.0,0.0014714892788519987,6,4,0
144,-4.0,-4.8,-1.5,34853886.69000001,0.006207281690115763,8562397991760.0,190295.95099480008,1.7767811870000003,5615000000.0,0.0015633967107867557,6,5,0
145,-4.0,-4.0,-1.5,49796624.22999999,0.008638498435250237,12630520547200.0,296069.7437380001,2.3797347999999996,5764500000.0,0.001849567683660922,6,6,0
146,-4.0,-3.2,-1.5,63553065.06,0.010549102010125322,20166646504200.0,491562.1878100001,3.0976311369999996,6024500000.0,0.002236233152406773,6,7,0
147,-4.0,-2.4,-1.5,91365726.77000001,0.015155631876917975,28953381819990.0,789698.2821860004,4.346690462,6028500000.0,0.0026776982076222493,6,8,0
148,-4.0,-1.6,-1.5,103287028.3,0.017082118299842883,32278464575000.0,819469.1235,4.5916737900000015,6046500000.0,0.0028188607312604353,6,9,0
149,-4.0,-0.8,-1.5,108398461.32,0.017906741772528288,33197390475700.0,848297.9170900001,4.718707082,6053500000.0,0.002855398116139553,6,10,0
150,-4.0,-0.0,-1.5,143115427.6,0.023534850781121525,47888145580000.0,1178548.926,5.772731289999998,6081000000.0,0.0034139742877210295,6,11,0
151,-4.0,0.8,-1.5,128400350.00999999,0.0213431432862367,40928058726800.0,1016532.1676540003,5.212383766000001,6016000000.0,0.0031902446245852334,6,12,0
152,-4.0,1.6,-1.5,103369083.72,0.017170944139534884,31764236067160.0,776566.495147,4.4391329709999985,6020000000.0,0.0028086263035420806,6,13,0
153,-4.0,2.4,-1.5,87179904.52,0.014645931040739184,26500741087960.0,661380.3438439998,3.9889323559999994,5952500000.0,0.002594483121445299,6,14,0
154,-4.0,3.2,-1.5,57743898.886999995,0.01005028263632408,15955824953706.6,412095.67793566,2.862146269099999,5745500000.0,0.0020857058027518673,6,15,0
155,-4.0,4.0,-1.5,53947717.129999995,0.009549958776774649,16518915538716.0,396332.85686985025,2.7495186770999993,5649000000.0,0.0021584422803412563,6,16,0
156,-4.0,4.8,-1.5,36640126.665,0.0065988521683926155,10115822466247.1,262995.66800257895,2.0461764324999994,5552500000.0,0.0017184356812737062,6,17,0
157,-4.0,5.6,-1.5,34139715.61999999,0.006189777104523613,9905693258090.0,320163.099191,2.4451066969999995,5515500000.0,0.001711901604028496,6,18,0
158,-4.0,6.4,-1.5,25295817.23,0.0047786563200151125,6175857658830.0,155471.72066800002,1.4683432080000005,5293500000.0,0.0014084030988712496,6,19,0
159,-4.0,7.2,-1.5,21971917.09,0.004532161115924092,5309379216000.0,130350.8869463,1.222826837,4848000000.0,0.0014258719060397898,6,20,0
160,-4.0,8.0,-1.5,15416881.839999998,0.0032121849859360345,4477149189480.0,95832.05774160002,0.90148166,4799500000.0,0.0013225924508569124,6,21,0
161,-4.0,8.8,-1.5,13517829.649999997,0.0031810400400047057,3443962996100.0,86759.617479,0.9198291040000001,4249500000.0,0.0013101247667810837,6,22,0
162,-3.2,-8.8,-1.5,13229626.93,0.003018395375313712,3016866991230.0,78796.13570669998,0.8793821760000002,4383000000.0,0.0011888521918642831,7,0,0
163,-3.2,-8.0,-1.5,16642991.097,0.0034698198888773062,3881713739716.2,85534.33750646004,0.9663172574,4796500000.0,0.00123227760290356,7,1,0
164,-3.2,-7.2,-1.5,19331752.384000003,0.003703046141940428,6078809887019.0,185215.55944619994,1.3859439833000005,5220500000.0,0.001416832246481535,7,2,0
165,-3.2,-6.4,-1.5,28576663.697999988,0.005319062577570961,8087593727402.2,212564.46039673997,1.7236504317999997,5372500000.0,0.0015880145959717945,7,3,0
166,-3.2,-5.6,-1.5,39420326.830000006,0.006973346334689546,10277961700600.0,261396.98707299994,2.243765816,5653000000.0,0.0017013582092806393,7,4,0
